Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
Ind-Swift Laboratories Ltd.,INDSWFTLAB,532305,INDSWFTLAB,INE915B01019,Pharmaceuticals,Pharmaceuticals & Biotechnology,97.48,45.38,40.17,7822.17,795.55,48.27,32.47,6222928.24,32.47,2.3,32.47,-6.04,55,0.36,0.93,-0.06,Export NA,-0.42
Indag Rubber Ltd.,,509162,INDAG,INE802D01023,Auto Tyres & Rubber Products,Automobiles & Auto Components,128.7,54.25,35.67,724.57,337.84,55.82,69.37,244787.4,69.37,-8.01,69.37,-2.13,50,-2.73,-1,16.73,Export NA,-1.21
Indef Manufacturing Ltd.,BAJAJINDEF,544364,BAJAJINDEF,INE0O9T01021,Others,Others,335.5,29.67,34.67,1246.88,1073.6,32.79,44.53,1338645,44.53,-3.63,44.53,-13.68,45,1.74,-1.06,24.19,Export NA,0.52
India Finsec Ltd.,,535667,IFINSEC,INE474O01010,Finance (including NBFCs),Banking and Finance,165.8,55.37,29.67,0.69,484,55.41,89.33,331.6,89.33,-2.33,89.33,-8.32,45,-0.89,-6.46,8.57,Export NA,2.61
India Gelatine & Chemicals Ltd.,,531253,INDGELA,INE342D01012,Specialty Chemicals,Chemicals & Petrochemicals,332.05,38.62,56.17,7007.6,235.5,48.9,22.12,1650288.5,22.12,-6.28,22.12,1.56,75,-2.5,-2.67,19.97,Export NA,1.18
India Homes Ltd.,,513361,INDIAHOMES,INE072A01029,Iron & Steel/Interm.Products,Metals & Mining,10.21,54.34,1,4534.61,406.44,58.06,,1843047.94,,-11.68,,-23.86,,-0.19,-0.97,-100,Export NA,0.53
India Motor Parts & Accessories Ltd.,IMPAL,590065,IMPAL,INE547E01014,Commodity Trading  & Distribution,Commercial Services & Supplies,1046.4,43.88,46.17,369.39,1305.91,45.25,20.25,482390.4,20.25,1.06,20.25,-3,70,-0.1,-0.15,1.03,Export NA,1.29
India Nippon Electricals Ltd.,INDNIPPON,532240,INDNIPPON,INE092B01025,Auto Parts & Equipment,Automobiles & Auto Components,856.95,51.01,44.5,5690.19,1938.54,50.63,62.58,11030660.4,62.58,0.69,62.58,-14.09,80,0.84,-0.62,21.3,Export NA,0.89
India Power Corporation Ltd.,DPSCLTD,,DPSCLTD,INE360C01024,Power - Electric Utilities,Utilities,11.08,31.79,41.67,1627.93,1078.96,34.4,89.09,1756468.08,89.09,1.28,89.09,-5.38,40,2.08,2.5,20.94,Export NA,-2.48
Indian Link Chain Manufacturer Ltd.,,504746,INLCM,INE359D01024,Other Industrial Products,General Industrials,2341.8,70.96,16.67,4568.22,626.43,76.84,98.23,2861679.6,98.23,-7.7,98.23,29.59,,2,-2,,Export NA,-227.77
Indian Toners & Developers Ltd.,,523586,INDTONER,INE826B01018,Specialty Chemicals,Chemicals & Petrochemicals,261,44.61,56.17,1373.21,271.22,44.6,29.12,372447,29.12,-1.42,29.12,-2.97,70,0.33,0.02,-0.63,Export NA,0.88
Indo Amines Ltd.,INDOAMIN,524648,INDOAMIN,INE760F01028,Commodity Chemicals,Chemicals & Petrochemicals,123.92,31.99,54.83,4684.27,899.51,34.8,16.99,4213527.84,16.99,-2.95,16.99,-5.71,65,-0.19,0.05,-3.67,Export NA,0.36
Indo Borax & Chemicals Ltd.,INDOBORAX,524342,INDOBORAX,INE803D01021,Commodity Chemicals,Chemicals & Petrochemicals,241.05,48.53,34.5,3891.24,773.53,57.7,88.88,3009991.35,88.88,-2.07,88.88,-5.25,40,0.16,-1.17,7.99,Export NA,2.49
Indo Farm Equipment Ltd.,INDOFARM,544328,INDOFARM,INE622H01018,Commercial Vehicles,Automobiles & Auto Components,208.45,48.67,40,18757.54,1001.64,49.69,25.2,18788223.85,25.2,-3.72,25.2,-14.62,75,3.52,-2.92,7.93,Export NA,
Indo National Ltd.,NIPPOBATRY,504058,NIPPOBATRY,INE567A01028,Household Products,Consumer Durables,428.85,42.59,27.83,4869.33,321.64,32.33,,1566160.2,,3.03,,-5.35,60,-0.39,2.23,0.13,Export NA,0.31
Indo Rama Synthetics (India) Ltd.,INDORAMA,500207,INDORAMA,INE156A01020,Textiles,Textiles Apparels & Accessories,51.24,49.97,70.67,13292.55,1337.94,49.51,61.55,17784686.64,61.55,-2.68,61.55,-23.06,85,-0.38,-2.12,-6.52,Export NA,0.06
Indo Tech Transformers Ltd.,INDOTECH,532717,INDOTECH,INE332H01014,Heavy Electrical Equipment,General Industrials,1691,28.09,45,11678.91,1795.84,44.14,38.95,20973473,38.95,-1.23,38.95,0.64,75,0.54,-1.05,11.55,Export NA,0.53
