Stock Name,NSE Code,BSE Code,Stock Code,ISIN,Industry Name,sector_name,Current Price,Trendlyne Momentum Score,Trendlyne Valuation Score,is_buyable,Market Capitalization,Prev Week Trendlyne Momentum Score,Is Stock In PE Buy Zone,buy_intensity,Is Stock in PE Sell Zone,Week change %,%Days traded below current PE Price to Earnings,Month Change %,Trendlyne Durability Score,Prev Day Change %,Day change %,Revenue QoQ Growth %,Forecaster Estimates 1Y forward PEG,PEG TTM PE to Growth
SoftTech Engineers Ltd.,SOFTTECH,543470,SOFTTECH,INE728Z01015,IT Software Products,Software & Services,346.9,41.65,37.83,5884.95,480.18,33.16,90.55,2825847.4,90.55,5.71,90.55,-1.28,50,-1.57,-0.46,-0.75,Export NA,-6.39
Softsol India Ltd.,,532344,SOFTSOL,INE002B01016,IT Consulting & Software,Software & Services,230.3,34.86,24.5,174.08,340.01,43.21,50.93,59187.1,50.93,-3.62,50.93,-3.21,,1.46,-1.14,0.02,Export NA,-1.39
Solarium Green Energy Ltd.,,544354,SOLARIUM,INE0W0H01017,Power - Electric Utilities,Utilities,261.05,22.11,23.33,37383.36,544.68,25.53,,20361900,,-8.68,,-20.09,,-3.91,2.23,,Export NA,
Solex Energy Ltd.,SOLEX,,SOLEX,INE880Y01017,Other Electrical Equipment/Products,Consumer Durables,1778.8,72.43,1,48654.48,1921.55,74.19,,93491949.2,,-7.26,,15.51,,-1.64,-3.91,-40.29,Export NA,
Soma Papers & Industries Ltd.,,516038,SOMAPPR,INE737E01011,Paper & Paper Products,Commercial Services & Supplies,79.3,52.15,16.5,3.46,915.72,41.6,100,3172,100,0,100,4.99,,0,0,,Export NA,30.39
Soma Textiles & Industries Ltd.,SOMATEX,521034,SOMATEX,INE314C01013,Textiles,Textiles Apparels & Accessories,120.55,72.09,23.5,1966.22,398.21,76.12,98.55,782972.25,98.55,-11.41,98.55,5.16,,-1.97,-2.01,-100,Export NA,-1.42
Somany Ceramics Ltd.,SOMANYCERA,531548,SOMANYCERA,INE355A01028,Ceramics,Consumer Durables,422.25,32.9,48.83,7829.02,1731.77,35.43,44.96,13558025.25,44.96,-4.25,44.96,-6.46,65,-0.53,-1.38,13.35,Export NA,-0.96
South West Pinnacle Exploration Ltd.,SOUTHWEST,543986,SOUTHWEST,INE980Y01015,Coal & Mining,Metals & Mining,211.71,65.34,49,233848.81,631.53,71.05,35.81,147682756.4,35.81,10.14,35.81,49,90,3.01,8.43,55.27,Export NA,0.15
Southern Petrochemicals Industries Corporation Ltd.,SPIC,590030,SPIC,INE147A01011,Fertilizers,Fertilizers,84.03,39.97,54.33,22309.19,1711.19,49.96,62.58,38175249.15,62.58,-4.58,62.58,-6.38,65,-0.02,-2.77,4.7,Export NA,0.12
Spacenet Enterprises India Ltd.,SPCENET,,SPCENET,INE970N01027,Internet Software & Services,Software & Services,8.11,47.28,43.17,3774.24,459.11,51.45,16.33,1732790.71,16.33,-10.19,16.33,-25.39,50,0,-2.64,-9.3,Export NA,1.07
Speciality Restaurants Ltd.,SPECIALITY,534425,SPECIALITY,INE247M01014,Restaurants,Hotels Restaurants & Tourism,125.65,42.26,48.5,20049.67,606.08,42.77,55.63,12151737.15,55.63,-5.54,55.63,-10.95,70,-0.69,-2.6,7.05,Export NA,-1.34
Spencers Retail Ltd.,SPENCERS,542337,SPENCERS,INE020801028,Department Stores,Retailing,46.22,36.12,27.5,3344.43,416.59,29.02,,1393255.68,,2.23,,-10.39,,-1.43,0.39,7.05,Export NA,-0.21
Sportking India Ltd.,SPORTKING,539221,SPORTKING,INE885H01029,Textiles,Textiles Apparels & Accessories,94.34,31.58,66.83,5995.81,1198.8,31.7,62.39,7187764.6,62.39,-5.38,62.39,-7.9,90,-2.25,-0.91,7.1,Export NA,0.43
Spunweb Nonwoven Ltd.,SPUNWEB,,SPUNWEB,INE19QH01010,Textiles,Textiles Apparels & Accessories,155.3,31.46,22.5,8463.54,374.33,30.9,100,3168120,100,1.17,100,6.37,,-1.56,0.49,,Export NA,
Sree Rayalaseema Hi-Strength Hypo Ltd.,SRHHYPOLTD,532842,SRHHYPOLTD,INE917H01012,Commodity Chemicals,Chemicals & Petrochemicals,528.3,41.97,56.17,2882.06,906.82,35.09,39.18,2613500.1,39.18,-0.87,39.18,-4.96,65,2,-0.84,1.18,Export NA,0.89
Sreeleathers Ltd.,SREEL,535601,SREEL,INE099F01013,Footwear,Retailing,229.86,50.06,43.5,3027.86,532.24,49.23,30.87,1611548.46,30.87,-0.1,30.87,0.63,55,1.32,-0.22,50.02,Export NA,14.18
Stallion India Fluorochemicals Ltd.,STALLION,544342,STALLION,INE0RYC01010,Specialty Chemicals,Chemicals & Petrochemicals,168.95,50.53,30,42243.14,1340.2,55.54,46.67,56614300.25,46.67,-18.48,46.67,-44.55,55,-4.99,-5,-4.44,Export NA,
Stanley Lifestyles Ltd.,STANLEY,544202,STANLEY,INE01A001028,Furniture-Furnishing,Diversified Consumer Services,224.15,31.34,42,12250.18,1280.47,31.17,0.57,15686017,0.57,-2.56,0.57,-21.3,80,-0.11,-0.22,-3.04,Export NA,1.98
Star Imaging and Path Lab Ltd.,,544482,STARIMAGIN,INE0YG001013,Healthcare Services,Healthcare,135,16.59,24.5,2870.26,235.17,26.45,100,675000,100,-0.44,100,2,,0.11,-0.11,,Export NA,
Star Paper Mills Ltd.,STARPAPER,516022,STARPAPER,INE733A01018,Paper & Paper Products,Commercial Services & Supplies,163.1,32.1,55.17,2300.04,254.57,43.45,74.1,585529,74.1,-3.1,74.1,-1.51,40,0.41,-1.05,3.18,Export NA,-0.2
Starteck Finance Ltd.,STARTECK,512381,STARTECK,INE992I01013,Finance (including NBFCs),Banking and Finance,289.55,41.64,49.5,11087.45,286.95,48.62,68.86,3181575.4,68.86,-2.57,68.86,-3.48,65,-0.34,-1.13,20.71,Export NA,0.47
State Trading Corporation Of India Ltd.,STCINDIA,512531,STCINDIA,INE655A01013,Commodity Trading  & Distribution,Commercial Services & Supplies,118.22,39.08,1.83,6865,709.32,39.89,93.8,4869481.8,93.8,-5.89,93.8,-9.47,,-0.79,-0.23,,Export NA,-1.1
Steel Exchange India Ltd.,STEELXIND,534748,STEELXIND,INE503B01021,Iron & Steel/Interm.Products,Metals & Mining,8.81,49.66,53.17,2976.66,1098.8,43.53,72.32,3270756.55,72.32,-2.11,72.32,-10.83,65,1.03,0,-22.75,Export NA,1.09
Sterling Tools Ltd.,STERTOOLS,530759,STERTOOLS,INE334A01023,Auto Parts & Equipment,Automobiles & Auto Components,281.1,29.47,49.67,6018.63,1017.14,29.55,23.29,6121795.8,23.29,-2.83,23.29,-10.78,65,1.45,-1,8.24,Export NA,-0.8
Stovec Industries Ltd.,,504959,STOVACQ,INE755D01015,Industrial Machinery,General Industrials,2026.75,31.59,37.67,660.92,423.19,33.67,88.47,279691.5,88.47,0.38,88.47,-8.83,70,0.11,-0.03,-27.97,Export NA,-1.1
Suba Hotels Ltd.,SUBAHOTELS,,SUBAHOTELS,INE0RYR01018,Hotels,Hotels Restaurants & Tourism,162.5,20.4,24,7919.98,393.94,11.09,,3120000,,-7.25,,-4.33,,-0.12,0.4,,Export NA,
Subam Papers Ltd.,,544267,SUBAM,INE0U6201010,Paper & Paper Products,Commercial Services & Supplies,220.5,76.52,36.17,26844.6,512.55,75.76,100,13759200,100,1.61,100,46.56,,4.79,0.32,,Export NA,
Subex Ltd.,SUBEXLTD,532348,SUBEXLTD,INE754A01055,IT Software Products,Software & Services,12.05,29.35,19.67,33645.45,677.21,30.19,,22785152.2,,-5.86,,-8.09,45,-1.45,-1.55,3.78,Export NA,-1.35
Sudarshan Pharma Industries Ltd.,,543828,SUDARSHAN,INE00TV01023,Specialty Chemicals,Chemicals & Petrochemicals,25.13,38.6,43.17,5651.15,604.78,26.55,35.78,3417680,35.78,8.32,35.78,8.74,60,3.98,-4.81,16.25,Export NA,
Suditi Industries Ltd.,,521113,SUDTIND-B,INE691D01012,Textiles,Textiles Apparels & Accessories,56.7,45.07,44.17,2476,224.62,45.88,62.1,556170.3,62.1,1.27,62.1,-3.9,70,-1.64,2.87,37.23,Export NA,0.1
Sugs Lloyd Ltd.,,544501,SUGSLLOYD,INE0XX801016,Power - Electric Utilities,Utilities,138.63,34.53,34.5,267941.76,321.82,31.62,100,86227860,100,17.7,100,49.24,40,4.57,11.86,7.08,Export NA,
Sukhjit Starch & Chemicals Ltd.,,524542,SUKHJITS,INE450E01029,Other Agricultural Products,"Food, Beverages & Tobacco",153.6,28.45,55.83,342.79,479.91,28.75,96.53,164505.6,96.53,0.52,96.53,-8.71,60,0.61,2.91,-14.77,Export NA,-0.36
Sula Vineyards Ltd.,SULA,543711,SULA,INE142Q01026,Breweries & Distilleries,"Food, Beverages & Tobacco",233.7,31.57,34.33,24304.65,1973.53,31.08,42.58,47965990.2,42.58,-3.67,42.58,-6.8,40,0.82,-2.01,19.4,Export NA,-0.94
Sumeet Industries Ltd.,SUMEETINDS,514211,SUMEETINDS,INE235C01036,Textiles,Textiles Apparels & Accessories,32.31,61.04,60.5,1326.59,1700.56,59.39,91.51,2255948.82,91.51,-5.25,91.51,-5.42,85,2.07,2.54,8.38,Export NA,0.01
Sumit Woods Ltd.,SUMIT,,SUMIT,INE748Z01013,Realty,Realty,74.67,29.75,42.33,5020.68,338.02,28.09,56.22,1697099.76,56.22,-6.56,56.22,-13.59,85,-2.3,0.39,-69.66,Export NA,4.78
SunRakshakk Industries India Ltd.,,539300,SUNRAKSHAK,INE671K01027,Textiles,Textiles Apparels & Accessories,217.25,41.1,44.17,1982.47,673.62,44.66,8.8,1335435.75,8.8,-3.79,8.8,-10.34,55,-0.23,-0.55,-3.41,Export NA,0.08
Sundaram Brake Lining Ltd.,SUNDRMBRAK,590072,SUNDRMBRAK,INE073D01013,Auto Parts & Equipment,Automobiles & Auto Components,740.15,32.79,20,5804.91,291.22,33.14,,1690502.6,,-0.13,,-3.27,50,1.38,-1.86,-15.2,Export NA,1.66
Sunita Tools Ltd.,,544001,SUNITATOOL,INE0Q1S01010,Industrial Machinery,General Industrials,903.35,64.91,18.67,12032.54,563.07,64.89,100,6775125,100,8.67,100,10.69,,2.96,0.01,,Export NA,
Sunlite Recycling Industries Ltd.,SUNLITE,,SUNLITE,INE0U2N01013,Copper,Metals & Mining,289.45,80.91,29,44669.12,314.92,78.61,100,14067270,100,9.16,100,53.51,,4.99,4.99,,Export NA,
Sunrise Efficient Marketing Ltd.,,543515,SEML,INE0KPY01017,Commodity Trading  & Distribution,Commercial Services & Supplies,299.05,52.52,20.33,16500,448.58,52.95,100,7401487.5,100,-1.69,100,-7.56,,0,0.05,,Export NA,
Sunshield Chemicals Ltd.,,530845,SUNSHIEL,INE199E01014,Specialty Chemicals,Chemicals & Petrochemicals,1020.35,60.79,41.5,4185.43,897.38,70.34,68.09,3755908.35,68.09,-10.55,68.09,12.13,55,-1.42,-1.92,7.48,Export NA,2.48
Super Sales India Ltd.,,512527,SUPER,INE091C01017,Textiles,Textiles Apparels & Accessories,760,26.65,51.83,931.14,233.43,38.24,97.14,217360,97.14,1.14,97.14,3.47,40,-0.88,0.72,6.16,Export NA,-2.25
Supershakti Metaliks Ltd.,,541701,SUPERSHAKT,INE00SY01011,Iron & Steel Products,Metals & Mining,280,26.29,39.5,260.3,322.71,,41.23,84000,41.23,3.7,41.23,0,,-11.18,3.7,,Export NA,
Supreme Holdings & Hospitality (India) Ltd.,,530677,SUPREME,INE822E01011,Realty,Realty,81.42,33.28,26.5,232.88,314.66,32.84,99.39,73278,99.39,-3.07,99.39,-3.04,,1.29,-2,-39.98,Export NA,-1.47
Supreme Infrastructure India Ltd.,SUPREMEINF,532904,SUPREMEINF,INE550H01011,Construction & Engineering,Cement and Construction,94.42,43.68,12.67,15208.34,242.64,31.41,,3690216.86,,13.2,,-2.52,,2.89,1.12,-62.44,Export NA,0.01
Supreme Power Equipment Ltd.,SUPREMEPWR,,SUPREMEPWR,INE0QHG01026,Heavy Electrical Equipment,General Industrials,219.15,68.23,44.5,13404.77,547.68,71.09,48.53,7341525,48.53,3.45,48.53,2.98,70,-1.54,0.64,14.43,Export NA,1.1
Suraj Estate Developers Ltd.,SURAJEST,544054,SURAJEST,INE843S01025,Realty,Realty,270.6,30.06,36.17,12949.26,1292.75,29.79,16.45,16740127.8,16.45,-2.26,16.45,-2.99,50,-0.85,0.69,9.13,Export NA,-2.65
Suraj Ltd.,,531638,SURAJLTD,INE713C01016,Iron & Steel Products,Metals & Mining,260.1,32.34,30,29.41,477.65,24.57,92.62,14045.4,92.62,-6.96,92.62,-12.85,45,2.18,-3.67,-0.31,Export NA,-1.25
Suraj Products Ltd.,,518075,SURAJ,INE069E01019,Iron & Steel/Interm.Products,Metals & Mining,269.3,38.24,50,3073.68,307,40.12,79.14,943627.2,79.14,-5.03,79.14,-39.44,65,-1.68,1.41,-27.27,Export NA,-0.49
Suraksha Diagnostic Ltd.,SURAKSHA,544293,SURAKSHA,INE877V01027,Healthcare Services,Healthcare,292.7,43.1,34,6334.58,1524.41,40.35,29.22,9656465.7,29.22,-2.84,29.22,-9.8,70,-0.9,0.81,8.46,Export NA,6.19
Surana Telecom and Power Ltd.,SURANAT&P,517530,SURANAT&P,INE130B01031,Power - Electric Utilities,Utilities,20.05,45.74,44.5,3268.93,272.2,48.31,38.41,889798.95,38.41,-3.7,38.41,-4.98,,-1.77,0.2,126.05,Export NA,0.09
Suratwwala Business Group Ltd.,,543218,SBGLP,INE05ST01028,Realty,Realty,28.5,25.32,31.5,233.48,494.24,34.08,11.25,115396.5,11.25,-15.53,11.25,-16.18,50,0.42,-7.59,62.86,Export NA,1.07
Suryoday Small Finance Bank Ltd.,SURYODAY,543279,SURYODAY,INE428Q01011,Microfinance Institutions,Banking and Finance,141.31,54.39,55.83,13587.85,1501.98,49.76,81.84,20408696.75,81.84,3.57,81.84,-9.48,30,-1.99,0.48,4.95,Export NA,-0.32
Sutlej Textiles & Industries Ltd.,SUTLEJTEX,532782,SUTLEJTEX,INE645H01027,Textiles,Textiles Apparels & Accessories,34.3,38.68,43.5,442.47,561.93,38.86,,248640.7,,-1.15,,-2.14,50,0.03,0.73,6.07,Export NA,1.21
Suyog Gurbaxani Funicular Ropeways Ltd.,,543391,SGFRL,INE07GA01011,Construction & Engineering,Cement and Construction,107,28.36,25.17,2111.64,266.03,28.39,,561750,,-0.74,,-10.83,,2.88,0,,Export NA,
Suyog Telematics Ltd.,,537259,SUYOG,INE442P01014,Other Telecom Services,Telecom Services,657.45,28.93,44.33,595.71,770.34,29.53,36.11,458900.1,36.11,-0.43,36.11,-14.92,50,-0.63,0.09,1.52,Export NA,-0.71
Swadeshi Polytex Ltd.,,503816,SWADPOL,INE243N01029,Realty,Realty,53.5,31.54,23.33,6213.08,208.65,31.9,86.9,1296358.5,86.9,-4,86.9,-14.26,,1.16,0.92,260,Export NA,-0.79
Swaraj Suiting Ltd.,SWARAJ,,SWARAJ,INE0GMR01016,Textiles,Textiles Apparels & Accessories,269.9,66.61,35,134206.55,594.27,64.6,69.82,79755450,69.82,14.36,69.82,38.55,,3.07,-3.76,,Export NA,
Swelect Energy Systems Ltd.,SWELECTES,532051,SWELECTES,INE409B01013,Heavy Electrical Equipment,General Industrials,703.3,48.83,47.67,1812.81,1066.12,50.51,46.92,1932668.4,46.92,-3.35,46.92,-12.71,60,1.25,-1,-21.65,Export NA,-0.74
Swiss Military Consumer Goods Ltd.,,523558,SWISSMLTRY,INE010C01025,Commodity Trading  & Distribution,Commercial Services & Supplies,21.11,27.94,32.17,5425.9,498.01,38.9,12.4,2702164.44,12.4,-5.25,12.4,-1.31,50,0.39,1.64,20.96,Export NA,3.93
Syncom Formulation (India) Ltd.,,524470,SYNCOMF,INE312C01025,Pharmaceuticals,Pharmaceuticals & Biotechnology,15.64,30.75,43.67,1397.91,1470.16,31.8,0.18,2055158.56,0.18,-2.19,0.18,-5.78,80,-0.57,0.06,4.12,Export NA,0.26
Synergy Green Industries Ltd.,SGIL,541929,SGIL,INE00QT01015,Other Industrial Products,General Industrials,553.65,66.25,31.67,7486.33,860.54,66.84,35.39,6442271.4,35.39,0.44,35.39,3.99,60,-0.39,0.61,-13.83,Export NA,1.69
Synthiko Foils Ltd.,,513307,SYNTHFO,INE363L01045,Aluminium and Aluminium Products,Metals & Mining,1648.9,83.04,30,15448.28,286.91,81.58,86.33,4432243.2,86.33,3.96,86.33,152.7,,-2,-2,-100,Export NA,0.34
Syschem (India) Ltd.,,531173,SYSCHEM,INE121D01036,Pharmaceuticals,Pharmaceuticals & Biotechnology,54.36,50.32,47.83,3164.57,236.54,59.33,53.16,748537.2,53.16,-4.3,53.16,-0.62,65,0.92,1.65,-6.97,Export NA,0.11
Systango Technologies Ltd,SYSTANGO,,SYSTANGO,INE0O7R01011,IT Consulting & Software,Software & Services,372.5,74.29,28.17,145069.81,546.41,73.85,59.48,79268000,59.48,3.04,59.48,58.17,,0.99,-6.38,,Export NA,
Systematic Industries Ltd.,,544541,SYSTEMATIC,INE1KLZ01011,Wires & Cables,Consumer Durables,197.75,13.21,26,6448.38,441.6,21.86,,2847600,,-5.9,,-2.59,,-0.4,-0.88,,Export NA,
T T Ltd.,TTL,514142,TTL,INE592B01024,Textiles,Textiles Apparels & Accessories,9.23,36.71,21.83,3993.44,238.42,37.29,,952120.65,,-1.49,,-8.16,65,-0.74,-1.18,-5.19,Export NA,0.78
TAAL Tech Ltd.,,539956,TAALENT,INE524T01011,Airlines,Transportation,2912.8,40.38,43.17,1736.03,907.72,40.23,60.15,1575824.8,60.15,-4.96,60.15,-9.45,75,-4.48,0.58,6.68,Export NA,0.89
TAC Infosec Ltd.,TAC,,TAC,INE0SOY01013,IT Consulting & Software,Software & Services,798.9,60.52,20.17,10210.31,1674.43,60.47,100,17096460,100,-4.79,100,-2.1,,-0.01,-1.58,,Export NA,
TCC Concept Ltd.,,512038,TCC,INE887D01016,Commodity Trading  & Distribution,Commercial Services & Supplies,502.05,40.85,34.17,9644.4,1790.94,45.51,2.67,17272528.2,2.67,-6.86,2.67,-12.86,60,-0.25,1.12,21.81,Export NA,0.67
TGV SRAAC Ltd.,,507753,TGVSL,INE284B01028,Commodity Chemicals,Chemicals & Petrochemicals,114.15,54.21,68.33,5150.16,1222.43,56.96,56.29,6295714.95,56.29,-2.35,56.29,-3.95,90,0.61,-0.61,1.83,Export NA,0.13
TIL Ltd.,TIL,505196,TIL,INE806C01018,Transport Related Services,Transportation,271.65,47.47,4.83,2272.45,1809.25,49.35,,4111422.75,,-4.73,,-12.33,65,-1.15,-1.47,24.42,Export NA,2.23
TPL Plastech Ltd.,TPLPLASTEH,526582,TPLPLASTEH,INE413G01022,Plastic Products,General Industrials,68.56,27.85,46.33,7593.55,534.79,36.91,59.56,4060945.92,59.56,-2.02,59.56,0.6,80,-0.31,1.87,18.22,Export NA,1.04
TRF Ltd.,TRF,505854,TRF,INE391D01019,Industrial Machinery,General Industrials,309.9,29.63,28.67,3054.23,341.03,38.74,97.91,1041573.9,97.91,-2.53,97.91,-9.58,,-1.01,0.57,-4.6,Export NA,-0.78
TTK Healthcare Ltd.,TTKHLTCARE,507747,TTKHLTCARE,INE910C01018,Diversified,Diversified,1113.8,33.14,34.83,1989.34,1573.83,32.94,22.77,3130891.8,22.77,0.3,22.77,-2.77,50,-1.17,0.33,-10.1,Export NA,-1.39
TV Today Network Ltd.,TVTODAY,532515,TVTODAY,INE038F01029,Broadcasting & Cable TV,Media,138.41,31.46,50.17,7946.06,825.87,30.87,96,6562433.33,96,-0.1,96,-6.18,65,-0.06,-0.22,-4.89,Export NA,-0.51
TVS Electronics Ltd.,TVSELECT,532513,TVSELECT,INE236G01019,Electronic Components,Commercial Services & Supplies,548.05,49.42,11.17,55344.95,1022.13,59.89,,56569721,,-8.81,,-17.87,60,-0.76,-2.09,31.8,Export NA,-22.46
Take Solutions Ltd.,TAKE,532890,TAKE,INE142I01023,Healthcare Services,Healthcare,30.99,68.33,39.67,177482.59,458.45,77.13,26.1,81366445.29,26.1,4.31,26.1,30.81,,0.13,0.23,,Export NA,0.07
Talbros Automotive Components Ltd.,TALBROAUTO,505160,TALBROAUTO,INE187D01029,Auto Parts & Equipment,Automobiles & Auto Components,279.8,45.26,42.5,9206.98,1727.16,46.18,79.22,15901873.4,79.22,1.1,79.22,-3.22,70,1.44,-1.01,3.09,Export NA,-1.01
Talbros Engineering Ltd.,,538987,TALBROSENG,INE717E01013,Auto Parts & Equipment,Automobiles & Auto Components,649.35,60.23,59.33,2434.75,329.64,56.27,62.93,802596.6,62.93,0.5,62.93,4.34,75,-1.29,4.5,7.03,Export NA,0.6
Tamil Nadu Newsprint And Papers Ltd.,TNPL,531426,TNPL,INE107A01015,Paper & Paper Products,Commercial Services & Supplies,143.96,41.02,47.5,4371.15,996.36,42.07,,4355221.88,,-1.74,,-6.66,45,0.26,-0.48,-2.8,Export NA,0.39
Tamilnadu Petroproducts Ltd.,TNPETRO,500777,TNPETRO,INE148A01019,Commodity Chemicals,Chemicals & Petrochemicals,104.52,50.87,72.67,21004.76,940.38,51.48,59.84,19752503.16,59.84,-0.65,59.84,-8.06,65,-2.25,-0.83,-1.22,Export NA,0.03
Taneja Aerospace & Aviation Ltd.,,522229,TANAA,INE692C01020,Aerospace & Defence,General Industrials,331.55,41.21,33.5,6546.93,845.47,34.42,52.11,5535227.25,52.11,-0.61,52.11,-8.59,85,-1.58,3.53,13.7,Export NA,1.11
Tankup Engineers Ltd.,TANKUP,,TANKUP,INE0Z7N01017,Industrial Machinery,General Industrials,726.1,51.56,17.5,1888.57,384.47,52.4,100,726100,100,12.46,100,47.55,,2,1.99,,Export NA,
Tara Chand InfraLogistic Solutions Ltd.,TARACHAND,,TARACHAND,INE555Z01020,Misc. Commercial Services,Commercial Services & Supplies,76.38,48.83,49.67,6904.8,602.06,52.3,73.72,4157134.26,73.72,-0.91,73.72,-10.42,75,-0.59,-1.29,7.52,Export NA,0.85
Tarsons Products Ltd.,TARSONS,543399,TARSONS,INE144Z01023,Medical Equipment,Healthcare,225.45,21.36,42,128334.8,1199.54,28.66,50.52,153942219.9,50.52,2.06,50.52,-22.22,60,0.87,-0.04,12,Export NA,-1.44
Taurian Mps Ltd.,TAURIAN,,TAURIAN,INE0XWS01018,Industrial Machinery,General Industrials,244.6,11.87,23.17,140489.91,217.28,8.43,100,30526080,100,-16.76,100,-20.29,,-4.99,0.33,,Export NA,
Team India Guaranty Ltd.,TEAMGTY,511559,TEAMGTY,INE289C01025,Finance (including NBFCs),Banking and Finance,265,71.78,23.67,311.35,238.32,72.65,86.69,74200,86.69,2.24,86.69,10.19,,3.32,-0.97,8.85,Export NA,3.06
TechD Cybersecurity Ltd.,TECHD,,TECHD,INE0Y5H01014,IT Consulting & Software,Software & Services,774,19.65,19,16845.6,578.93,19.81,100,9752400,100,11.58,100,21.77,,-0.28,-2,,Export NA,
TechEra Engineering (India) Ltd.,TECHERA,,TECHERA,INE0JQS01019,Aerospace & Defence,General Industrials,236.8,53.09,23.17,11621.64,391.21,54.22,100,4546560,100,-7.45,100,-19.85,,-0.95,-1.09,,Export NA,
Tejas Cargo India Ltd.,TEJASCARGO,,TEJASCARGO,INE17WC01013,Warehousing & Logistics,Transportation,293.2,43.74,33,5022.43,700.54,50.87,100,3518400,100,-0.27,100,-0.1,,0.25,4.71,,Export NA,
Tembo Global Industries Ltd.,TEMBO,,TEMBO,INE869Y01010,Iron & Steel Products,Metals & Mining,747.05,65.07,47.67,43508.76,1207.71,71.32,19.86,52546002.9,19.86,-7.69,19.86,21.86,60,-2.48,1.75,-1.1,Export NA,0.11
Tera Software Ltd.,TERASOFT,533982,TERASOFT,INE482B01010,IT Consulting & Software,Software & Services,512.6,69.19,38.67,18667.03,641.36,67.27,71.81,11972285.6,71.81,1.67,71.81,0.87,70,5,-4.29,118.18,Export NA,0.28
Texmaco Infrastructure & Holdings Ltd.,TEXINFRA,505400,TEXINFRA,INE435C01024,Realty,Realty,104.21,53.29,26.83,172164.52,1327.91,46.22,,228619441.1,,8.82,,2.65,,-0.34,1.73,29.03,Export NA,12.94
Thaai Casting Ltd.,TCL,,TCL,INE0QJL01014,Iron & Steel/Interm.Products,Metals & Mining,111.85,49.29,23.67,2629.27,272.26,48.32,,715840,,3.56,,-13.13,,2.8,1.68,,Export NA,
The Byke Hospitality Ltd.,BYKE,531373,BYKE,INE319B01014,Hotels,Hotels Restaurants & Tourism,56.63,26.86,37.17,114218.44,296.06,34.72,74.68,33815245.38,74.68,-8.26,74.68,-6.5,65,-9.13,8.97,-8.21,Export NA,-4.41
The Hi-Tech Gears Ltd.,HITECHGEAR,522073,HITECHGEAR,INE127B01011,Auto Parts & Equipment,Automobiles & Auto Components,704.9,48.37,45.33,193.69,1324.73,52.09,79.5,256583.6,79.5,-5.76,79.5,-11.67,60,1.52,-1.6,11.69,Export NA,-0.94
The Indian Wood Products Company Ltd.,,540954,IWP,INE586E01020,Forest Products,Forest Materials,38.13,50.34,46,2204.53,243.93,44.58,25.43,537747.39,25.43,-1.37,25.43,-7.34,80,0.82,-3.22,7.48,Export NA,8.57
The Investment Trust of India Ltd.,THEINVEST,530023,THEINVEST,INE924D01017,Finance (including NBFCs),Banking and Finance,122.15,39.68,49,513.76,638.14,33.63,42.26,327850.6,42.26,0.41,42.26,-13.12,70,0.32,-0.19,12.77,Export NA,-0.6
The Peria Karamalai Tea & Produce Company Ltd.,PKTEA,,PKTEA,INE431F01018,Tea & Coffee,"Food, Beverages & Tobacco",730,53.85,17.67,936.72,226,50.07,,211700,,-2.58,,4.43,55,-4.68,-0.14,-36.57,Export NA,0.39
The United Nilgiri Tea Estates Company Ltd.,UNITEDTEA,,UNITEDTEA,INE458F01011,Tea & Coffee,"Food, Beverages & Tobacco",445.45,49.67,56.17,6824.64,222.57,50.47,7.42,1518984.5,7.42,1,7.42,-2.89,80,0.87,0.32,-4.62,Export NA,0.48
The Yamuna Syndicate Ltd.,,540980,YSL,INE868X01014,Commodity Trading  & Distribution,Commercial Services & Supplies,35000,35.47,31,195.19,1075.9,52.81,95.54,210000,95.54,-3.58,95.54,-1.41,45,-4.17,1.45,-23.03,Export NA,-0.31
Thejo Engineering Ltd.,THEJO,,THEJO,INE121N01019,Industrial Machinery,General Industrials,1651.1,41.68,36.17,4852.3,1790.85,33.09,41.35,8689739.3,41.35,-5.35,41.35,-6.18,60,-0.95,-2.22,12.95,Export NA,-12.82
Themis Medicare Ltd.,THEMISMED,530199,THEMISMED,INE083B01024,Pharmaceuticals,Pharmaceuticals & Biotechnology,107.86,31.24,22.17,6786.28,992.74,30.91,,6737043.46,,-4.12,,-14.32,50,-0.7,1.36,-20.07,Export NA,0.24
Thomas Scott (India) Ltd.,THOMASCOTT,533941,THOMASCOTT,INE480M01011,Other Apparels & Accessories,Textiles Apparels & Accessories,347.1,48.12,35.83,27274.65,509.21,58.7,66.03,13888512.3,66.03,-12.27,66.03,-9.93,60,-0.85,-2.98,5.65,Export NA,0.74
Tierra Agrotech Ltd.,,543531,TIERRA,INE05CY01014,Other Agricultural Products,"Food, Beverages & Tobacco",52.1,60.84,13.5,2682.42,341.74,53.9,,916699.5,,2.56,,33.18,35,2.51,2.16,-80.43,Export NA,-5.79
Tiger Logistics (India) Ltd.,,536264,TIGERLOGS,INE906O01029,Warehousing & Logistics,Transportation,39.1,30.83,47.17,1212.96,413.38,30.19,37.25,501418.4,37.25,-0.99,37.25,-8.45,75,0.67,-0.33,64.59,Export NA,0.35
