Ticker,MarketCap_Cr
TEXINFRA.NS,1327.91
TCL.NS,272.26
BYKE.NS,296.06
HITECHGEAR.NS,1324.73
THEINVEST.NS,638.14
PKTEA.NS,226.0
UNITEDTEA.NS,222.57
THEJO.NS,1790.85
THEMISMED.NS,992.74
THOMASCOTT.NS,509.21
TIRUPATIFL.NS,431.77
TOLINS.NS,586.78
TRACXN.NS,490.51
TRANSTEEL.NS,307.14
TRANSWORLD.NS,458.58
TREJHARA.NS,613.05
TBZ.NS,1170.39
TECHLABS.NS,606.74
TRIGYN.NS,219.63
TUNWAL.NS,244.62
TICL.NS,457.56
UCAL.NS,271.0
UFO.NS,319.56
UGARSUGAR.NS,456.87
UEL.NS,1594.77
UNIECOM.NS,1423.54
UNIHEALTH.NS,517.06
UNIENTER.NS,1009.39
UNITECH.NS,1616.87
UNIDT.NS,399.91
UFBL.NS,723.57
UNITEDPOLY.NS,910.26
UNIVASTU.NS,247.12
UNIVPHOTO.NS,287.84
UDS.NS,1250.69
URAVIDEF.NS,213.89
URJA.NS,679.79
UTSSAV.NS,590.09
UTTAMSUGAR.NS,877.06
VMARCIND.NS,1744.49
VIPCLOTHNG.NS,294.0
VLEGOV.NS,250.85
VLSFINANCE.NS,1049.93
VMSTMT.NS,303.74
MADHAVBAUG.NS,287.12
VAKRANGEE.NS,878.47
VALIANTLAB.NS,360.31
VALIANTORG.NS,706.28
VARDHACRLC.NS,314.95
VHL.NS,1185.58
VARDMNPOLY.NS,306.54
VGL.NS,372.58
DENTALKART.NS,1000.04
VASCONEQ.NS,1160.85
VENKEYS.NS,1893.05
VENUSREM.NS,923.86
VERTOZ.NS,610.42
VETO.NS,214.97
VSTL.NS,252.88
VIDHIING.NS,1799.27
VIKASECO.NS,220.75
VIKASLIFE.NS,351.1
VILAS.NS,982.5
VINDHYATEL.NS,1796.83
VINSYS.NS,631.22
VINYAS.NS,1514.88
VINYLINDIA.NS,450.18
VGINFOTECH.NS,420.03
VISASTEEL.NS,609.05
VISAKAIND.NS,598.7
VISAMAN.NS,230.32
VPRPL.NS,1025.57
VISHNUINFR.NS,408.64
VIESL.NS,718.33
VIVIANA.NS,851.34
VOLERCAR.NS,228.44
VRAJ.NS,442.92
WSI.NS,504.15
WALCHANNAG.NS,1176.93
WANBURY.NS,908.06
WEALTH.NS,1053.89
WELINV.NS,433.09
WENDT.NS,1610.8
WCIL.NS,1202.46
WINDLAS.NS,1642.37
WINSOL.NS,202.33
WTICAB.NS,381.11
WOMANCART.NS,213.8
WORTHPERI.NS,228.0
XCHANGING.NS,959.85
YASHOPTICS.NS,296.32
YUKEN.NS,1213.53
ZTECH.NS,728.55
ZEELEARN.NS,247.91
ZEEMEDIA.NS,604.79
ZODIACLOTH.NS,233.03
ZODIAC.NS,507.55
ZUARI.NS,1149.66
ZUARIIND.NS,955.53
